feedbacks,categories
"The service was good but the staff was very rude","['service_quality', 'staff_conduct']"
"I waited almost an hour before anyone attended to me","['waiting_time']"
"The teller was very polite and explained everything clearly","['staff_conduct', 'service_quality']"
"Your mobile app keeps crashing every time I try to log in","['app_usability']"
"The transaction fees are way too high compared to other banks","['pricing_fees']"
"Overall a great experience, quick and efficient","['service_quality']"
"The queue was so long I almost left without being served","['waiting_time']"
"One of your agents was rude and dismissive when I asked a question","['staff_conduct']"
"I like the new app design but it's still a bit slow","['app_usability']"
"Hidden charges on my statement that were never explained to me","['pricing_fees']"
"The branch was clean and the staff were friendly and helpful","['staff_conduct', 'service_quality', 'cleanliness_hygiene']"
"Why does it take so long just to open an account here","['waiting_time', 'service_quality']"
"The app logs me out randomly and I lose all my progress","['app_usability']"
"Monthly maintenance fees keep increasing without notice","['pricing_fees']"
"Excellent customer service, the staff went above and beyond","['staff_conduct', 'service_quality']"
"I had to queue for 40 minutes just to deposit cash","['waiting_time']"
"The app is very intuitive and easy to navigate","['app_usability']"
"Your withdrawal charges are not competitive at all","['pricing_fees']"
"The manager was unprofessional and raised his voice at me","['staff_conduct']"
"Fast and smooth service today, no complaints","['service_quality', 'waiting_time']"
"Only two counters open despite the huge crowd waiting","['waiting_time']"
"The app crashed right when I was about to complete a transfer","['app_usability']"
"I was charged a fee I was never told about when opening my account","['pricing_fees']"
"Staff member was very patient in explaining the loan process","['staff_conduct', 'service_quality']"
"Terrible service, nobody seemed to know what they were doing","['service_quality']"
"Waited in line for over an hour with only one teller working","['waiting_time', 'staff_conduct']"
"The new update to the app broke the fingerprint login feature","['app_usability']"
"Your interest rates and fees are not transparent at all","['pricing_fees']"
"The receptionist ignored me for several minutes before helping","['staff_conduct', 'waiting_time']"
"Very satisfied with how quickly my issue was resolved","['service_quality']"
"The app is constantly under maintenance and unusable at night","['app_usability']"
"Why do you charge so much for a simple balance inquiry","['pricing_fees']"
"Staff were courteous but the process itself was very slow","['staff_conduct', 'waiting_time']"
"Great app, love the new budgeting feature you added","['app_usability', 'service_quality']"
"I stood in line for 30 minutes and then got redirected to another queue","['waiting_time']"
"The agent was condescending when I asked about my loan","['staff_conduct']"
"Service fees keep changing without any clear communication","['pricing_fees']"
"The app freezes every time I try to view my transaction history","['app_usability']"
"Quick, professional, and courteous, exactly what I needed","['service_quality', 'staff_conduct']"
"Not enough staff on duty, the line barely moved for 20 minutes","['waiting_time', 'staff_conduct']"
"I appreciate how fast the app processes transfers now","['app_usability', 'service_quality']"
"Extra charges appeared on my account that I did not authorize","['pricing_fees']"
"The customer care line kept me on hold forever before hanging up","['waiting_time', 'service_quality']"
"Friendly staff but the wait time really needs improvement","['staff_conduct', 'waiting_time']"
"The app's new interface is confusing and hard to use","['app_usability']"
"Reasonable fees and clear pricing, no complaints there","['pricing_fees']"
"One agent was helpful, another was rude and unhelpful","['staff_conduct']"
"Everything was smooth from start to finish, well done","['service_quality']"
"The app takes forever to load my account balance","['app_usability', 'waiting_time']"
"I finally got the help I needed from customer support","['service_quality']"
"They explained everything clearly and resolved my issue","['service_quality', 'staff_conduct']"
"The representative assisted me with great patience","['service_quality', 'staff_conduct']"
"Got the assistance I was looking for, great service","['service_quality']"
"The program is very easy to use and navigate","['app_usability']"
"It was easy for me to use the system after they explained it","['app_usability']"
"The new software is intuitive and easy to operate","['app_usability']"
"Inflation has made life difficult. I used to use your service but now I cannot afford it. Goodbye","['pricing_fees', 'service_quality']"
"Rising prices and cost of living have made rates too expensive for us","['pricing_fees']"
"Your service is getting worse and worse every month, I am cancelling","['service_quality']"
"The monthly charge is absurdly expensive and costs too much money","['pricing_fees']"
"The mobile app interface is laggy and full of software bugs","['app_usability']"
"The branch teller was very disrespectful and acted unprofessionally","['staff_conduct']"
"Le temps d'attente était beaucoup trop long","['waiting_time']"
"Le personnel était très impoli et arrogant","['staff_conduct']"
"L'application mobile plante à chaque connexion","['app_usability']"
"Les frais bancaires sont beaucoup trop élevés","['pricing_fees']"
"Service rapide et efficace, je suis très satisfait","['service_quality']"
"Le personnel était aimable mais l'attente était trop longue","['staff_conduct', 'waiting_time']"
"L'application est intuitive mais les frais de transaction sont excessifs","['app_usability', 'pricing_fees']"
"Umwanya wo gutegereza wari muremure cyane","['waiting_time']"
"Abakozi bari batuje kandi bafasha neza","['staff_conduct', 'service_quality']"
"Porogaramu ya telefoni irahagaze buri gihe","['app_usability']"
"Amafaranga basaba ni menshi cyane","['pricing_fees']"
"Serivisi yari nziza cyane kandi yihuse","['service_quality']"
"Nategereje iminota mirongo itatu ariko abakozi bari abantu beza","['waiting_time', 'staff_conduct']"
"Porogaramu nshya ni nziza ariko igura cyane","['app_usability', 'pricing_fees']"
"Muda wa kusubiri ulikuwa mrefu sana","['waiting_time']"
"Wafanyakazi walikuwa na heshima na msaada","['staff_conduct', 'service_quality']"
"Programu ya simu inasimama kila wakati","['app_usability']"
"Gharama za huduma ni kubwa sana","['pricing_fees']"
"Huduma ilikuwa nzuri na ya haraka","['service_quality']"
"Programu ni nzuri lakini muda wa kusubiri ni mrefu","['app_usability', 'waiting_time']"
"I want my money back, this is unacceptable service","['service_quality']"
"Give me back my money right now, you people are thieves","['service_quality', 'staff_conduct']"
"They took my money and never delivered the service I paid for","['service_quality']"
"I called 5 times and nobody helped me with my problem","['service_quality']"
"Nobody picks up the phone and my issue is still unresolved","['service_quality']"
"Je veux mon argent! C'est pas acceptable ce service","['service_quality']"
"Rendez-moi mon argent, votre service est nul","['service_quality']"
"Ils ont pris mon argent et ne m'ont jamais aidé","['service_quality']"
"Ntabwo nabonye amafaranga yanjye, serivisi ni mbi","['service_quality']"
"Amafaranga yanjye yarazimiye ntacyo bakoze","['service_quality']"
"Pesa yangu imepotea na hakuna mtu anayenisaidia","['service_quality']"
"The staff made me wait 45 minutes doing absolutely nothing","['waiting_time', 'staff_conduct']"
"I was ignored by the staff while waiting in a long queue","['waiting_time', 'staff_conduct']"
"Your app charges me hidden fees I never agreed to","['pricing_fees', 'app_usability']"
"The app deducted money from my account without permission","['app_usability', 'service_quality']"
"L'application a retiré de l'argent de mon compte sans autorisation","['app_usability', 'service_quality']"
"Porogaramu yakuye amafaranga ku konti yanjye nta burenganzira","['app_usability', 'service_quality']"
"The process was confusing and nobody explained anything to me","['service_quality', 'staff_conduct']"
"I don't understand why my account was closed without notice","['service_quality']"
"Mon compte a été fermé sans explication","['service_quality']"
"Your customer support is the worst I have ever experienced","['service_quality']"
"Huduma yenu ni mbaya sana, sipendezwi kabisa","['service_quality']"
"Serivisi yanyu ni mbi cyane sinshimishwa nawe","['service_quality']"
"The fees are fair but the service itself is terrible","['service_quality', 'pricing_fees']"
"I have no complaints about pricing but the staff were awful","['staff_conduct']"
"Ko serivisi zanyu zisigaye zitinda cyane?","['waiting_time', 'service_quality']"
"Kuki bitinda cyane kugira ngo umuntu ahabwe serivisi?","['waiting_time']"
"Natinze cyane ku murongo amasaha abiri yose","['waiting_time']"
"Byatinze cyane mbere y'uko umukozi anyitaho","['waiting_time', 'staff_conduct']"
"Imirongo yari miremure cyane kandi abakozi bakora buhoro","['waiting_time', 'staff_conduct']"
"Serivisi yanyu iratinda cyane birabangamye","['waiting_time', 'service_quality']"
"Ntegereje igihe kirekire kuri telefone nta muntu unyitaho","['waiting_time', 'service_quality']"
"Gukererwa mu gutanga serivisi byatumye nkererwa ku kazi","['waiting_time']"
"Abakozi banyu bafite agasuzuguro kenshi kandi ntibubaha abakiriya","['staff_conduct']"
"Umukozi yansuzuguye igihe namubazaga ubusobanuro","['staff_conduct']"
"Abakozi ntibitaye ku bibazo byanjye bansubije nabi","['staff_conduct']"
"Umunyamwuga wanyakiriye yari afite ikinyabupfura n'ubupfura bwinshi","['staff_conduct', 'service_quality']"
"Abakozi barakora neza cyane bafasha abakiriya bose","['staff_conduct', 'service_quality']"
"Umukozi w'umutekano n'uwanyakiriye bose bari beza cyane","['staff_conduct', 'service_quality']"
"Umuyobozi w'ishami yantutse antera hejuru","['staff_conduct']"
"Porogaramu ya telefoni irapfa buri gihe iyo ngerageje kuyifungura","['app_usability']"
"Sinshobora kwinjira muri porogaramu yanyu irafunze","['app_usability']"
"Porogaramu nshya iragoye kuyikoresha kandi ifite ibibazo byinshi","['app_usability']"
"Urubuga rwa interineti ntabwo rurimo gukora neza","['app_usability']"
"Gukoresha porogaramu biroroshye cyane kandi byihuse","['app_usability', 'service_quality']"
"Porogaramu yanyatse amafaranga ariko ntabwo yoherejwe","['app_usability', 'pricing_fees']"
"Porogaramu ya telefoni igenda buhoro cyane iratinda gufunguka","['app_usability', 'waiting_time']"
"Ibiciro byanyu n'amafaranga muca ku bikorwa birahanitse cyane","['pricing_fees']"
"Kuki muncaho amafaranga menshi yo kubikuza no kohereza?","['pricing_fees']"
"Naciwe amafaranga y'umurengera ntasobanukiwe kuri konti yanjye","['pricing_fees']"
"Amafaranga yo gufata neza konti arakabije kwiyongera buri kwezi","['pricing_fees']"
"Ibiciro byanyu birakwiye kandi birasobanutse nta kibazo","['pricing_fees']"
"Muncaho amafaranga yo kureba asigaye kuri konti kuki?","['pricing_fees']"
"Serivisi yanyu ni nziza cyane ndayikunze cyane","['service_quality']"
"Serivisi mbi cyane nta kintu na kimwe cyagenze neza","['service_quality']"
"Sinanyuzwe na serivisi naherewe muri iri shami","['service_quality']"
